ID,Latitude,Longitude,variable,,,,
USC00015439,32.4419,-85.8889,PRCP,1902,2016,,
USC00173046,44.2203,-69.7889,SNOW,1886,2020,,
USC00173046,44.2203,-69.7889,SNWD,1886,2020,,
USC00215638,45.59,-95.8744,TMAX,1886,2020,,
USC00215638,45.59,-95.8744,TMIN,1886,2020,,
USC00015537,33.0981,-86.8658,PRCP,1893,2020,,
USC00270690,44.4536,-71.1856,TMAX,1886,2020,,
USC00270690,44.4536,-71.1856,TMIN,1886,2020,,
USC00015635,34.4883,-87.2989,PRCP,1957,2020,,
USC00270690,44.4536,-71.1856,SNOW,1886,2020,,
USW00014898,44.4983,-88.1111,TMAX,1886,2020,,
USW00014898,44.4983,-88.1111,TMIN,1886,2020,,
USC00016121,33.9264,-86.4211,PRCP,1894,2020,,
USW00014898,44.4983,-88.1111,SNOW,1886,2020,,
USW00053919,33.6361,-91.7556,SNWD,1886,2020,,
USC00030234,33.6378,-91.2119,SNOW,1886,2019,,
USC00270690,44.4536,-71.1856,WT01,1886,2019,,
USC00307633,40.9586,-73.1047,SNOW,1886,2018,,
USC00031152,33.59,-92.8236,SNOW,1887,2020,,
USC00031152,33.59,-92.8236,SNWD,1887,2020,,
USC00033466,34.5128,-93.0486,TMAX,1887,2020,,
USC00033466,34.5128,-93.0486,TMIN,1887,2020,,
USC00200032,41.9164,-84.0158,TMAX,1887,2020,,
USC00200032,41.9164,-84.0158,TMIN,1887,2020,,
USC00016129,32.6592,-85.4492,PRCP,1957,2020,,
USC00016246,33.745,-86.6417,PRCP,1948,2016,,
USC00200146,43.3869,-84.6483,SNOW,1887,2020,,
USC00260507,39.4931,-117.0675,TMAX,1887,2020,,
USC00260507,39.4931,-117.0675,TMIN,1887,2020,,
USC00016436,31.8811,-86.9864,PRCP,1967,2017,,
USC00268761,39.3128,-119.6483,TMAX,1887,2020,,
USC00268761,39.3128,-119.6483,TMIN,1887,2020,,
USC00016478,33.6906,-86.685,PRCP,1951,2014,,
USC00268761,39.3128,-119.6483,SNOW,1887,2020,,
USC00270690,44.4536,-71.1856,SNWD,1887,2020,,
USC00318500,35.8847,-77.5386,TMAX,1887,2020,,
USC00318500,35.8847,-77.5386,TMIN,1887,2020,,
USC00318500,35.8847,-77.5386,SNWD,1887,2020,,
USC00016508,32.6131,-86.9056,PRCP,1940,2017,,
USC00422996,40.2842,-109.8611,TMAX,1887,2020,,
USC00422996,40.2842,-109.8611,TMIN,1887,2020,,
USC00016847,33.3739,-88.0053,PRCP,1938,2020,,
USW00093820,38.0408,-84.6058,SNOW,1887,2020,,
USC00016988,30.5653,-87.7017,PRCP,1912,2020,,
USC00435733,44.1647,-72.6567,TMAX,1887,2018,,
USC00435733,44.1647,-72.6567,TMIN,1887,2018,,
USC00017020,32.8711,-86.1758,PRCP,1954,2020,,
USC00435733,44.1647,-72.6567,SNOW,1887,2018,,
USC00200146,43.3869,-84.6483,TMAX,1887,2017,,
USC00200146,43.3869,-84.6483,TMIN,1887,2017,,
USC00017025,33.1581,-85.2911,PRCP,1938,2020,,
USC00017131,34.51,-87.7319,PRCP,1953,2020,,
USC00260507,39.4931,-117.0675,SNWD,1887,2011,,
USC00017157,34.1736,-86.8133,PRCP,1907,2020,,
USC00068138,41.795,-72.2286,TMAX,1888,2020,,
USC00068138,41.795,-72.2286,TMIN,1888,2020,,
USC00017207,34.2878,-85.9681,PRCP,1949,2020,,
USC00068138,41.795,-72.2286,SNOW,1888,2020,,
USC00068138,41.795,-72.2286,SNWD,1888,2020,,
USC00117391,41.5181,-90.5647,SNOW,1888,2020,,
USC00017304,34.6736,-86.0536,PRCP,1891,2020,,
USC00126001,37.9286,-87.8956,WT01,1888,2020,,
USC00200032,41.9164,-84.0158,SNOW,1888,2020,,
USC00017366,32.4111,-87.0144,PRCP,1895,2020,,
USC00200094,42.2486,-84.7736,SNOW,1888,2020,,
USC00200718,46.5869,-89.5475,TMAX,1888,2020,,
USC00200718,46.5869,-89.5475,TMIN,1888,2020,,
USC00200718,46.5869,-89.5475,TOBS,1888,2020,,
USC00017999,33.2053,-86.2114,PRCP,1950,2020,,
USC00200718,46.5869,-89.5475,SNOW,1888,2020,,
